transaction_id,date,product_name,quantity,amount,discount,cashier
1,2/11/2025,Compound - Raspberry,170,$441.50,$18.87,arnold
2,2/26/2025,Sherry - Dry,65,$579.75,$2.21,Sona
3,2/11/2025,Broom - Push,198,$106.68,$45.85,bet
4,2/22/2025,Nantuket Peach Orange,4,$265.07,$47.44,bet
5,2/10/2025,Bananas,83,$378.32,$36.49,Sona
6,2/20/2025,Island Oasis - Cappucino Mix,95,$551.93,$38.11,arnold
7,2/11/2025,"Pail - 15l White, With Handle",58,$372.13,$14.98,Sona
8,2/22/2025,Wine - Segura Viudas Aria Brut,193,$482.79,$20.89,bet
9,2/6/2025,Beer - Tetleys,22,$347.71,$23.04,Sona
10,2/24/2025,Beef - Tenderloin Tails,12,$389.96,$12.71,Sona
11,2/26/2025,Pork Salted Bellies,189,$364.10,$15.70,bet
12,2/5/2025,Energy Drink,170,$343.01,$38.32,Sona
13,2/14/2025,Temperature Recording Station,84,$278.89,$2.09,Sona
14,2/12/2025,Oil - Shortening - All - Purpose,158,$455.13,$16.54,Sona
15,2/13/2025,Lamb - Rack,148,$201.90,$0.55,arnold
16,2/22/2025,"Syrup - Monin, Irish Cream",103,$81.04,$15.64,bet
17,2/15/2025,Sugar - Icing,28,$117.55,$14.31,arnold
18,2/27/2025,Cucumber - Pickling Ontario,194,$131.72,$40.49,bet
19,2/17/2025,Beer - True North Lager,132,$281.50,$24.85,Sona
20,2/25/2025,Veal - Loin,109,$391.35,$4.31,bet
21,2/8/2025,Sobe - Cranberry Grapefruit,152,$344.41,$28.51,arnold
22,2/23/2025,Wine - Balbach Riverside,100,$435.62,$15.66,arnold
23,2/11/2025,Oven Mitt - 13 Inch,100,$368.70,$26.37,arnold
24,2/12/2025,Icecream - Dibs,195,$322.72,$20.38,Sona
25,2/4/2025,Soup - French Can Pea,26,$204.31,$48.66,bet
26,2/25/2025,"Ham - Smoked, Bone - In",42,$492.12,$40.39,Sona
27,2/5/2025,Red Cod Fillets - 225g,66,$246.53,$38.60,Sona
28,2/14/2025,Wine - Casillero Del Diablo,33,$258.43,$6.96,arnold
29,2/17/2025,Bamboo Shoots - Sliced,41,$562.15,$30.31,bet
30,2/26/2025,Oil - Sesame,16,$450.16,$13.31,Sona
31,2/18/2025,Squid Ink,125,$98.12,$35.34,Sona
32,2/10/2025,Lamb Shoulder Boneless Nz,195,$524.97,$40.06,arnold
33,2/4/2025,Wine - Winzer Krems Gruner,117,$433.29,$3.41,Sona
34,2/4/2025,"Lamb - Whole, Frozen",149,$135.46,$24.50,arnold
35,2/5/2025,Appetizer - Asian Shrimp Roll,159,$368.25,$47.48,bet
36,2/8/2025,Lettuce - Curly Endive,200,$62.79,$17.43,bet
37,2/8/2025,Lettuce - Boston Bib - Organic,197,$390.98,$38.03,Sona
38,2/16/2025,Quail - Jumbo Boneless,182,$509.73,$2.57,arnold
39,2/12/2025,"Sauce - Soya, Light",108,$472.65,$40.75,bet
40,2/11/2025,Fennel - Seeds,104,$330.83,$30.59,arnold
41,2/9/2025,Eggplant - Regular,36,$510.82,$13.00,arnold
42,2/7/2025,"Trout - Hot Smkd, Dbl Fillet",174,$413.78,$40.64,bet
43,2/27/2025,Milk - Chocolate 250 Ml,89,$79.15,$1.51,bet
44,2/24/2025,Alize Gold Passion,48,$96.69,$46.04,bet
45,2/20/2025,Sauce - Ranch Dressing,22,$483.16,$41.59,Sona
46,2/21/2025,Extract - Almond,111,$453.30,$17.15,bet
47,2/6/2025,Beer - Blue,107,$588.06,$10.05,arnold
48,2/19/2025,"Leeks - Baby, White",175,$174.61,$42.75,Sona
49,2/6/2025,Wine - Chenin Blanc K.w.v.,115,$538.99,$9.49,arnold
50,2/16/2025,Kaffir Lime Leaves,88,$115.98,$29.37,arnold
51,2/7/2025,Kiwi,181,$325.28,$25.20,Sona
52,2/11/2025,"Placemat - Scallop, White",130,$379.54,$30.21,bet
53,2/8/2025,Wine - Cotes Du Rhone,193,$248.80,$3.18,bet
54,2/24/2025,Croissants Thaw And Serve,93,$583.31,$38.78,bet
55,2/5/2025,"Bread - Roll, Canadian Dinner",28,$216.11,$42.50,Sona
56,2/4/2025,"Wine - Red, Mosaic Zweigelt",119,$452.18,$36.42,bet
57,2/24/2025,Tofu - Soft,134,$133.38,$2.30,bet
58,2/19/2025,Ice Cream - Chocolate,99,$491.61,$45.24,Sona
59,2/7/2025,"Pork - Tenderloin, Fresh",109,$443.53,$32.21,Sona
60,2/13/2025,Cloves - Ground,121,$399.79,$0.45,bet
61,2/11/2025,Ice Cream - Chocolate,158,$52.53,$17.70,Sona
62,2/17/2025,Tofu - Soft,66,$249.06,$34.11,Sona
63,2/17/2025,Wine - Zinfandel Rosenblum,173,$122.49,$5.40,arnold
64,2/10/2025,Island Oasis - Mango Daiquiri,78,$136.49,$6.75,bet
65,2/17/2025,Energy Drink - Redbull 355ml,26,$218.10,$5.70,arnold
66,2/14/2025,Wine - Barbera Alba Doc 2001,192,$175.87,$45.75,bet
67,2/18/2025,Cookies - Assorted,91,$466.28,$42.82,arnold
68,2/19/2025,Cheese - Gorgonzola,198,$312.85,$26.70,arnold
69,2/27/2025,"Fish - Halibut, Cold Smoked",124,$433.62,$36.73,bet
70,2/9/2025,Water - Evian 355 Ml,25,$282.08,$12.68,bet
71,2/25/2025,Creme De Cacao Mcguines,1,$467.21,$43.24,arnold
72,2/27/2025,Sauce - Sesame Thai Dressing,45,$171.02,$1.17,bet
73,2/8/2025,Chocolate Eclairs,123,$226.65,$19.26,arnold
74,2/21/2025,Wine - Segura Viudas Aria Brut,45,$177.97,$20.95,arnold
75,2/12/2025,Wine - Ej Gallo Sierra Valley,46,$168.12,$20.07,Sona
76,2/9/2025,Vinegar - White Wine,76,$207.36,$2.32,arnold
77,2/5/2025,Bacardi Breezer - Strawberry,4,$377.52,$27.36,arnold
78,2/21/2025,Steel Wool,183,$365.45,$48.72,Sona
79,2/10/2025,"Chicken - White Meat, No Tender",3,$115.88,$29.38,Sona
80,2/4/2025,Curry Paste - Green Masala,154,$157.18,$11.94,bet
81,2/6/2025,"Beef - Bones, Cut - Up",69,$133.01,$47.45,bet
82,2/8/2025,Cheese - Bakers Cream Cheese,80,$588.41,$36.75,Sona
83,2/22/2025,Chicken - White Meat With Tender,161,$314.23,$29.71,arnold
84,2/14/2025,"Flour - Buckwheat, Dark",120,$251.20,$22.45,bet
85,2/25/2025,Shallots,139,$429.29,$21.07,arnold
86,2/14/2025,Shallots,135,$417.85,$25.22,arnold
87,2/26/2025,"Sauce - Bernaise, Mix",70,$224.34,$3.80,arnold
88,2/19/2025,Cookies Cereal Nut,150,$374.89,$6.70,bet
89,2/24/2025,Energy Drink,106,$67.72,$25.70,Sona
90,2/14/2025,Syrup - Kahlua Chocolate,145,$295.23,$17.82,Sona
91,2/17/2025,White Baguette,145,$79.32,$33.09,bet
92,2/12/2025,"Stock - Chicken, White",92,$341.08,$21.57,Sona
93,2/20/2025,"Crab - Blue, Frozen",196,$214.41,$30.43,Sona
94,2/27/2025,Grouper - Fresh,125,$201.56,$26.99,Sona
95,2/17/2025,Yucca,183,$275.99,$15.73,arnold
96,2/21/2025,Rum - Mount Gay Eclipes,69,$391.74,$15.73,Sona
97,2/26/2025,Saskatoon Berries - Frozen,53,$518.27,$34.46,Sona
98,2/21/2025,"Crush - Orange, 355ml",35,$303.80,$3.45,Sona
99,2/22/2025,Veal - Heart,101,$273.90,$37.95,arnold
100,2/16/2025,"Shrimp - Baby, Warm Water",187,$355.76,$15.28,Sona
101,2/16/2025,Poppy Seed,193,$445.13,$24.39,bet
